distance,pair,value
1,4_5,654.6
2,7_9,619.2
3,4_7,571.75
4,1_5,511.6
5,2_7,585.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,5_6,614.8
2,4_6,546
3,4_7,571.75
4,5_9,578
5,1_6,531.6
6,3_9,539.4
7,2_9,541.2
8,1_9,523
1,7_8,579.25
2,6_8,598.25
3,4_7,571.75
4,5_9,578
5,3_8,506.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,2_4,614.4
3,5_8,598.8
4,5_9,578
5,4_9,561
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,2_3,565.2
2,5_7,562.2
3,5_8,598.8
4,2_6,547.8
5,3_8,506.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,4_5,654.6
2,4_6,546
3,3_6,561.2
4,5_9,578
5,1_6,531.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,6_7,599.8
2,6_8,598.25
3,2_5,615.6
4,5_9,578
5,4_9,561
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,6_7,599.8
2,2_4,614.4
3,3_6,561.2
4,5_9,578
5,1_6,531.6
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,3_5,567
3,3_6,561.2
4,2_6,547.8
5,4_9,561
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,6_8,598.25
3,2_5,615.6
4,2_6,547.8
5,3_8,506.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,7_9,619.2
3,3_6,561.2
4,4_8,545.8
5,2_7,585.6
6,3_9,539.4
7,2_9,541.2
8,1_9,523
1,4_5,654.6
2,3_5,567
3,1_4,496.2
4,1_5,511.6
5,3_8,506.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,6_7,599.8
2,5_7,562.2
3,6_9,576.2
4,1_5,511.6
5,4_9,561
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,2_3,565.2
2,7_9,619.2
3,4_7,571.75
4,4_8,545.8
5,3_8,506.6
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,2_3,565.2
2,6_8,598.25
3,2_5,615.6
4,2_6,547.8
5,2_7,585.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,7_8,579.25
2,2_4,614.4
3,6_9,576.2
4,5_9,578
5,4_9,561
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,4_5,654.6
2,7_9,619.2
3,2_5,615.6
4,3_7,594.6
5,4_9,561
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,5_6,614.8
2,3_5,567
3,2_5,615.6
4,1_5,511.6
5,3_8,506.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,8_9,654.75
2,2_4,614.4
3,6_9,576.2
4,2_6,547.8
5,2_7,585.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,6_7,599.8
2,2_4,614.4
3,1_4,496.2
4,3_7,594.6
5,3_8,506.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,3_4,636.667
2,4_6,546
3,3_6,561.2
4,2_6,547.8
5,1_6,531.6
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,2_4,614.4
3,4_7,571.75
4,3_7,594.6
5,4_9,561
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,5_6,614.8
2,2_4,614.4
3,5_8,598.8
4,4_8,545.8
5,1_6,531.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,7_8,579.25
2,1_3,539.8
3,3_6,561.2
4,3_7,594.6
5,3_8,506.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,1_2,697
2,5_7,562.2
3,5_8,598.8
4,1_5,511.6
5,1_6,531.6
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,2_3,565.2
2,6_8,598.25
3,6_9,576.2
4,1_5,511.6
5,4_9,561
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,5_6,614.8
2,6_8,598.25
3,5_8,598.8
4,1_5,511.6
5,4_9,561
6,3_9,539.4
7,2_9,541.2
8,1_9,523
1,3_4,636.667
2,5_7,562.2
3,2_5,615.6
4,5_9,578
5,1_6,531.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,6_7,599.8
2,6_8,598.25
3,2_5,615.6
4,5_9,578
5,1_6,531.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,3_4,636.667
2,1_3,539.8
3,3_6,561.2
4,5_9,578
5,4_9,561
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,5_6,614.8
2,4_6,546
3,2_5,615.6
4,4_8,545.8
5,2_7,585.6
6,1_7,529.4
7,2_9,541.2
8,1_9,523
1,2_3,565.2
2,6_8,598.25
3,6_9,576.2
4,1_5,511.6
5,4_9,561
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,4_6,546
3,1_4,496.2
4,4_8,545.8
5,4_9,561
6,3_9,539.4
7,2_9,541.2
8,1_9,523
1,4_5,654.6
2,4_6,546
3,5_8,598.8
4,4_8,545.8
5,2_7,585.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,8_9,654.75
2,2_4,614.4
3,1_4,496.2
4,4_8,545.8
5,3_8,506.6
6,1_7,529.4
7,2_9,541.2
8,1_9,523
1,5_6,614.8
2,3_5,567
3,2_5,615.6
4,2_6,547.8
5,2_7,585.6
6,2_8,550.4
7,1_8,555.8
8,1_9,523
1,8_9,654.75
2,3_5,567
3,6_9,576.2
4,4_8,545.8
5,4_9,561
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,2_3,565.2
2,7_9,619.2
3,6_9,576.2
4,1_5,511.6
5,1_6,531.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,4_6,546
3,6_9,576.2
4,1_5,511.6
5,3_8,506.6
6,1_7,529.4
7,2_9,541.2
8,1_9,523
1,7_8,579.25
2,4_6,546
3,2_5,615.6
4,3_7,594.6
5,3_8,506.6
6,2_8,550.4
7,2_9,541.2
8,1_9,523
1,5_6,614.8
2,7_9,619.2
3,4_7,571.75
4,4_8,545.8
5,1_6,531.6
6,3_9,539.4
7,1_8,555.8
8,1_9,523
1,1_2,697
2,7_9,619.2
3,4_7,571.75
4,1_5,511.6
5,3_8,506.6
6,1_7,529.4
7,1_8,555.8
8,1_9,523
1,7_8,579.25
2,1_3,539.8
3,6_9,576.2
4,5_9,578
5,1_6,531.6
