distance,pair,value
1,3_4,570
2,2_4,504.4
3,2_5,506.4
4,1_5,537.6
5,2_7,507.4
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,4_5,515.75
2,6_8,607
3,2_5,506.4
4,3_7,534.6
5,4_9,555.6
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,6_7,584.8
2,2_4,504.4
3,1_4,497.2
4,2_6,515.2
5,3_8,537.4
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,3_4,570
2,1_3,498.6
3,3_6,527
4,4_8,578.4
5,1_6,511.6
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,3_4,570
2,7_9,612
3,5_8,614.4
4,4_8,578.4
5,2_7,507.4
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,6_7,584.8
2,7_9,612
3,1_4,497.2
4,4_8,578.4
5,1_6,511.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,1_2,543
2,2_4,504.4
3,5_8,614.4
4,2_6,515.2
5,4_9,555.6
6,1_7,533.2
7,1_8,497.6
8,1_9,501.4
1,6_7,584.8
2,3_5,557.6
3,1_4,497.2
4,4_8,578.4
5,4_9,555.6
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,4_5,515.75
2,6_8,607
3,5_8,614.4
4,5_9,540.6
5,1_6,511.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,6_7,584.8
2,6_8,607
3,1_4,497.2
4,3_7,534.6
5,1_6,511.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,8_9,616.2
2,1_3,498.6
3,3_6,527
4,3_7,534.6
5,2_7,507.4
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,3_4,570
2,7_9,612
3,2_5,506.4
4,4_8,578.4
5,3_8,537.4
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,2_3,542.4
2,2_4,504.4
3,1_4,497.2
4,2_6,515.2
5,3_8,537.4
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,3_4,570
2,5_7,566
3,6_9,565
4,2_6,515.2
5,2_7,507.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,1_2,543
2,3_5,557.6
3,1_4,497.2
4,3_7,534.6
5,2_7,507.4
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,5_6,582.4
2,7_9,612
3,5_8,614.4
4,3_7,534.6
5,3_8,537.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,5_6,582.4
2,1_3,498.6
3,6_9,565
4,1_5,537.6
5,3_8,537.4
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,6_7,584.8
2,7_9,612
3,5_8,614.4
4,3_7,534.6
5,4_9,555.6
6,2_8,510.6
7,2_9,488
8,1_9,501.4
1,3_4,570
2,7_9,612
3,2_5,506.4
4,2_6,515.2
5,4_9,555.6
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,7_8,594.8
2,3_5,557.6
3,1_4,497.2
4,3_7,534.6
5,1_6,511.6
6,1_7,533.2
7,1_8,497.6
8,1_9,501.4
1,1_2,543
2,6_8,607
3,6_9,565
4,4_8,578.4
5,1_6,511.6
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,7_8,594.8
2,4_6,577
3,6_9,565
4,1_5,537.6
5,2_7,507.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,6_7,584.8
2,6_8,607
3,6_9,565
4,5_9,540.6
5,3_8,537.4
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,2_3,542.4
2,7_9,612
3,4_7,567.4
4,5_9,540.6
5,4_9,555.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,4_5,515.75
2,3_5,557.6
3,4_7,567.4
4,5_9,540.6
5,3_8,537.4
6,3_9,529.4
7,1_8,497.6
8,1_9,501.4
1,2_3,542.4
2,7_9,612
3,2_5,506.4
4,4_8,578.4
5,1_6,511.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,8_9,616.2
2,4_6,577
3,4_7,567.4
4,3_7,534.6
5,3_8,537.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,6_7,584.8
2,5_7,566
3,3_6,527
4,4_8,578.4
5,4_9,555.6
6,2_8,510.6
7,2_9,488
8,1_9,501.4
1,4_5,515.75
2,1_3,498.6
3,3_6,527
4,5_9,540.6
5,4_9,555.6
6,2_8,510.6
7,2_9,488
8,1_9,501.4
1,2_3,542.4
2,6_8,607
3,3_6,527
4,2_6,515.2
5,1_6,511.6
6,1_7,533.2
7,1_8,497.6
8,1_9,501.4
1,6_7,584.8
2,3_5,557.6
3,5_8,614.4
4,2_6,515.2
5,4_9,555.6
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,8_9,616.2
2,5_7,566
3,4_7,567.4
4,5_9,540.6
5,4_9,555.6
6,1_7,533.2
7,2_9,488
8,1_9,501.4
1,3_4,570
2,5_7,566
3,2_5,506.4
4,5_9,540.6
5,3_8,537.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,3_4,570
2,6_8,607
3,4_7,567.4
4,3_7,534.6
5,4_9,555.6
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,1_2,543
2,5_7,566
3,2_5,506.4
4,5_9,540.6
5,2_7,507.4
6,3_9,529.4
7,2_9,488
8,1_9,501.4
1,2_3,542.4
2,2_4,504.4
3,5_8,614.4
4,1_5,537.6
5,2_7,507.4
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,1_2,543
2,4_6,577
3,6_9,565
4,4_8,578.4
5,3_8,537.4
6,2_8,510.6
7,1_8,497.6
8,1_9,501.4
1,7_8,594.8
2,4_6,577
3,6_9,565
4,3_7,534.6
5,3_8,537.4
6,1_7,533.2
