distance,pair,value
1,2_3,497.2
2,4_6,550.8
3,1_4,520
4,4_8,511.2
5,4_9,442.2
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,8_9,586
2,5_7,544.4
3,2_5,506.4
4,3_7,454.6
5,3_8,487.4
6,2_8,472.8
7,1_8,413.5
8,1_9,477.2
1,2_3,497.2
2,2_4,507
3,1_4,520
4,1_5,436.2
5,1_6,541
6,3_9,453.4
7,1_8,413.5
8,1_9,477.2
1,4_5,661
2,4_6,550.8
3,1_4,520
4,2_6,465.8
5,3_8,487.4
6,3_9,453.4
7,2_9,475.6
8,1_9,477.2
1,3_4,551.6
2,6_8,558
3,4_7,544.4
4,1_5,436.2
5,4_9,442.2
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,7_8,490.6
2,4_6,550.8
3,6_9,591
4,2_6,465.8
5,3_8,487.4
6,2_8,472.8
7,1_8,413.5
8,1_9,477.2
1,5_6,471.5
2,4_6,550.8
3,1_4,520
4,1_5,436.2
5,2_7,498.6
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,1_2,543.2
2,3_5,529
3,5_8,509
4,3_7,454.6
5,3_8,487.4
6,3_9,453.4
7,2_9,475.6
8,1_9,477.2
1,3_4,551.6
2,5_7,544.4
3,1_4,520
4,3_7,454.6
5,2_7,498.6
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,5_6,471.5
2,2_4,507
3,4_7,544.4
4,3_7,454.6
5,2_7,498.6
6,3_9,453.4
7,1_8,413.5
8,1_9,477.2
1,8_9,586
2,3_5,529
3,4_7,544.4
4,5_9,439.8
5,3_8,487.4
6,1_7,472.2
7,1_8,413.5
8,1_9,477.2
1,4_5,661
2,7_9,591.75
3,4_7,544.4
4,4_8,511.2
5,2_7,498.6
6,2_8,472.8
7,1_8,413.5
8,1_9,477.2
1,6_7,658
2,3_5,529
3,2_5,506.4
4,2_6,465.8
5,3_8,487.4
6,3_9,453.4
7,1_8,413.5
8,1_9,477.2
1,3_4,551.6
2,1_3,440.6
3,6_9,591
4,1_5,436.2
5,2_7,498.6
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,1_2,543.2
2,3_5,529
3,6_9,591
4,2_6,465.8
5,1_6,541
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,1_2,543.2
2,7_9,591.75
3,2_5,506.4
4,1_5,436.2
5,4_9,442.2
6,1_7,472.2
7,1_8,413.5
8,1_9,477.2
1,8_9,586
2,1_3,440.6
3,4_7,544.4
4,2_6,465.8
5,3_8,487.4
6,1_7,472.2
7,1_8,413.5
8,1_9,477.2
1,6_7,658
2,4_6,550.8
3,4_7,544.4
4,2_6,465.8
5,4_9,442.2
6,3_9,453.4
7,1_8,413.5
8,1_9,477.2
1,1_2,543.2
2,7_9,591.75
3,5_8,509
4,1_5,436.2
5,4_9,442.2
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,6_7,658
2,1_3,440.6
3,6_9,591
4,1_5,436.2
5,3_8,487.4
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,4_5,661
2,3_5,529
3,6_9,591
4,4_8,511.2
5,1_6,541
6,1_7,472.2
7,2_9,475.6
8,1_9,477.2
1,1_2,543.2
2,7_9,591.75
3,6_9,591
4,1_5,436.2
5,2_7,498.6
6,3_9,453.4
7,1_8,413.5
8,1_9,477.2
1,4_5,661
2,7_9,591.75
3,3_6,453.4
4,2_6,465.8
5,1_6,541
6,3_9,453.4
7,2_9,475.6
8,1_9,477.2
1,1_2,543.2
2,5_7,544.4
3,4_7,544.4
4,3_7,454.6
5,2_7,498.6
6,3_9,453.4
7,2_9,475.6
8,1_9,477.2
1,4_5,661
2,5_7,544.4
3,5_8,509
4,2_6,465.8
5,1_6,541
6,1_7,472.2
7,1_8,413.5
8,1_9,477.2
1,8_9,586
2,5_7,544.4
3,6_9,591
4,5_9,439.8
5,2_7,498.6
6,2_8,472.8
7,2_9,475.6
8,1_9,477.2
1,4_5,661
2,2_4,507
3,4_7,544.4
4,2_6,465.8
5,1_6,541
