distance,pair,value
1,8_9,808.6
2,1_3,647.2
3,2_5,524.2
4,2_6,585.2
5,4_9,636.2
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,7_8,694.4
2,5_7,756.75
3,3_6,636.2
4,5_9,666.2
5,4_9,636.2
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,2_3,798.6
2,3_5,728.2
3,4_7,642
4,4_8,711
5,4_9,636.2
6,2_8,731.6
7,2_9,610.6
8,1_9,557.4
1,3_4,674.4
2,3_5,728.2
3,1_4,646.4
4,2_6,585.2
5,2_7,554.4
6,2_8,731.6
7,2_9,610.6
8,1_9,557.4
1,4_5,596.6
2,4_6,634.8
3,3_6,636.2
4,5_9,666.2
5,3_8,694
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,5_6,819.2
2,1_3,647.2
3,3_6,636.2
4,1_5,606
5,1_6,528.8
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,8_9,808.6
2,3_5,728.2
3,5_8,642
4,3_7,679.4
5,4_9,636.2
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,2_4,842.6
3,2_5,524.2
4,2_6,585.2
5,1_6,528.8
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,6_7,770
2,6_8,654.4
3,3_6,636.2
4,4_8,711
5,3_8,694
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,3_4,674.4
2,1_3,647.2
3,6_9,710.4
4,3_7,679.4
5,1_6,528.8
6,3_9,839.5
7,2_9,610.6
8,1_9,557.4
1,6_7,770
2,4_6,634.8
3,6_9,710.4
4,5_9,666.2
5,3_8,694
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,7_8,694.4
2,6_8,654.4
3,1_4,646.4
4,2_6,585.2
5,1_6,528.8
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,2_3,798.6
2,6_8,654.4
3,4_7,642
4,2_6,585.2
5,4_9,636.2
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,5_6,819.2
2,1_3,647.2
3,2_5,524.2
4,2_6,585.2
5,1_6,528.8
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,7_8,694.4
2,2_4,842.6
3,6_9,710.4
4,1_5,606
5,1_6,528.8
6,3_9,839.5
7,2_9,610.6
8,1_9,557.4
1,1_2,673.2
2,1_3,647.2
3,6_9,710.4
4,5_9,666.2
5,4_9,636.2
6,2_8,731.6
7,2_9,610.6
8,1_9,557.4
1,7_8,694.4
2,6_8,654.4
3,5_8,642
4,4_8,711
5,1_6,528.8
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,6_7,770
2,3_5,728.2
3,5_8,642
4,4_8,711
5,4_9,636.2
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,2_4,842.6
3,3_6,636.2
4,3_7,679.4
5,2_7,554.4
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,1_2,673.2
2,4_6,634.8
3,4_7,642
4,3_7,679.4
5,2_7,554.4
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,7_8,694.4
2,7_9,721.4
3,2_5,524.2
4,4_8,711
5,1_6,528.8
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,4_5,596.6
2,7_9,721.4
3,1_4,646.4
4,4_8,711
5,4_9,636.2
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,6_8,654.4
3,6_9,710.4
4,2_6,585.2
5,4_9,636.2
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,2_4,842.6
3,6_9,710.4
4,1_5,606
5,2_7,554.4
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,4_5,596.6
2,6_8,654.4
3,6_9,710.4
4,5_9,666.2
5,2_7,554.4
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,1_2,673.2
2,5_7,756.75
3,4_7,642
4,5_9,666.2
5,3_8,694
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,5_7,756.75
3,2_5,524.2
4,2_6,585.2
5,3_8,694
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,5_6,819.2
2,4_6,634.8
3,3_6,636.2
4,1_5,606
5,3_8,694
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,7_8,694.4
2,3_5,728.2
3,6_9,710.4
4,1_5,606
5,3_8,694
6,3_9,839.5
7,2_9,610.6
8,1_9,557.4
1,5_6,819.2
2,7_9,721.4
3,2_5,524.2
4,2_6,585.2
5,2_7,554.4
6,3_9,839.5
7,2_9,610.6
8,1_9,557.4
1,6_7,770
2,5_7,756.75
3,4_7,642
4,1_5,606
5,2_7,554.4
6,2_8,731.6
7,2_9,610.6
8,1_9,557.4
1,2_3,798.6
2,1_3,647.2
3,4_7,642
4,1_5,606
5,3_8,694
6,2_8,731.6
7,2_9,610.6
8,1_9,557.4
1,8_9,808.6
2,2_4,842.6
3,1_4,646.4
4,1_5,606
5,2_7,554.4
6,2_8,731.6
7,1_8,583
8,1_9,557.4
1,6_7,770
2,6_8,654.4
3,6_9,710.4
4,3_7,679.4
5,4_9,636.2
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,3_4,674.4
2,6_8,654.4
3,3_6,636.2
4,4_8,711
5,3_8,694
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,5_6,819.2
2,7_9,721.4
3,5_8,642
4,3_7,679.4
5,4_9,636.2
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,1_2,673.2
2,2_4,842.6
3,4_7,642
4,2_6,585.2
5,3_8,694
6,1_7,551.6
7,2_9,610.6
8,1_9,557.4
1,4_5,596.6
2,6_8,654.4
3,2_5,524.2
4,4_8,711
5,4_9,636.2
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,5_6,819.2
2,5_7,756.75
3,2_5,524.2
4,2_6,585.2
5,4_9,636.2
6,1_7,551.6
7,1_8,583
8,1_9,557.4
1,6_7,770
2,2_4,842.6
3,6_9,710.4
4,1_5,606
5,4_9,636.2
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,8_9,808.6
2,4_6,634.8
3,6_9,710.4
4,4_8,711
5,1_6,528.8
6,3_9,839.5
7,1_8,583
8,1_9,557.4
1,5_6,819.2
2,2_4,842.6
