distance,pair,value
1,8_9,820.4
2,1_3,548.2
3,6_9,838.2
4,5_9,629.4
5,3_8,748
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,1_2,680
2,4_6,631
3,6_9,838.2
4,5_9,629.4
5,4_9,720.2
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,7_8,854.2
2,5_7,780.4
3,5_8,665.8
4,3_7,712
5,1_6,623.8
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,5_6,658.4
2,1_3,548.2
3,5_8,665.8
4,2_6,577.8
5,1_6,623.8
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,4_5,596.8
2,4_6,631
3,1_4,589.4
4,1_5,588
5,1_6,623.8
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,2_3,608.8
2,5_7,780.4
3,4_7,619.4
4,4_8,540.25
5,2_7,605.2
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,1_2,680
2,7_9,755.25
3,3_6,542.2
4,1_5,588
5,2_7,605.2
6,1_7,547.8
7,2_9,559.4
8,1_9,553.8
1,7_8,854.2
2,6_8,772.6
3,4_7,619.4
4,2_6,577.8
5,3_8,748
6,3_9,613.4
7,2_9,559.4
8,1_9,553.8
1,6_7,831.2
2,5_7,780.4
3,1_4,589.4
4,5_9,629.4
5,4_9,720.2
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,3_4,597.25
2,6_8,772.6
3,6_9,838.2
4,4_8,540.25
5,4_9,720.2
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,5_6,658.4
2,2_4,599
3,3_6,542.2
4,1_5,588
5,2_7,605.2
6,3_9,613.4
7,2_9,559.4
8,1_9,553.8
1,5_6,658.4
2,4_6,631
3,4_7,619.4
4,5_9,629.4
5,1_6,623.8
6,1_7,547.8
7,2_9,559.4
8,1_9,553.8
1,8_9,820.4
2,3_5,611.6
3,2_5,580.2
4,2_6,577.8
5,1_6,623.8
6,1_7,547.8
7,2_9,559.4
8,1_9,553.8
1,5_6,658.4
2,4_6,631
3,5_8,665.8
4,2_6,577.8
5,2_7,605.2
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,6_7,831.2
2,1_3,548.2
3,4_7,619.4
4,2_6,577.8
5,3_8,748
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,2_3,608.8
2,4_6,631
3,5_8,665.8
4,1_5,588
5,1_6,623.8
6,3_9,613.4
7,2_9,559.4
8,1_9,553.8
1,6_7,831.2
2,4_6,631
3,4_7,619.4
4,3_7,712
5,4_9,720.2
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,3_4,597.25
2,4_6,631
3,1_4,589.4
4,4_8,540.25
5,2_7,605.2
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,6_7,831.2
2,5_7,780.4
3,4_7,619.4
4,3_7,712
5,3_8,748
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,2_3,608.8
2,6_8,772.6
3,2_5,580.2
4,2_6,577.8
5,4_9,720.2
6,1_7,547.8
7,2_9,559.4
8,1_9,553.8
1,8_9,820.4
2,1_3,548.2
3,3_6,542.2
4,3_7,712
5,2_7,605.2
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,6_7,831.2
2,7_9,755.25
3,2_5,580.2
4,2_6,577.8
5,1_6,623.8
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,4_5,596.8
2,1_3,548.2
3,1_4,589.4
4,1_5,588
5,1_6,623.8
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,3_4,597.25
2,4_6,631
3,2_5,580.2
4,4_8,540.25
5,1_6,623.8
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,4_5,596.8
2,5_7,780.4
3,2_5,580.2
4,5_9,629.4
5,4_9,720.2
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,2_3,608.8
2,3_5,611.6
3,6_9,838.2
4,4_8,540.25
5,4_9,720.2
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,8_9,820.4
2,6_8,772.6
3,4_7,619.4
4,1_5,588
5,4_9,720.2
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,4_5,596.8
2,2_4,599
3,4_7,619.4
4,2_6,577.8
5,3_8,748
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,4_5,596.8
2,7_9,755.25
3,2_5,580.2
4,1_5,588
5,3_8,748
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,7_8,854.2
2,2_4,599
3,3_6,542.2
4,3_7,712
5,4_9,720.2
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,8_9,820.4
2,2_4,599
3,3_6,542.2
4,2_6,577.8
5,2_7,605.2
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,2_3,608.8
2,6_8,772.6
3,4_7,619.4
4,4_8,540.25
5,4_9,720.2
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,7_8,854.2
2,4_6,631
3,6_9,838.2
4,5_9,629.4
5,2_7,605.2
6,1_7,547.8
7,2_9,559.4
8,1_9,553.8
1,5_6,658.4
2,7_9,755.25
3,1_4,589.4
4,2_6,577.8
5,1_6,623.8
6,3_9,613.4
7,2_9,559.4
8,1_9,553.8
1,4_5,596.8
2,6_8,772.6
3,1_4,589.4
4,3_7,712
5,2_7,605.2
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,8_9,820.4
2,5_7,780.4
3,6_9,838.2
4,4_8,540.25
5,2_7,605.2
6,3_9,613.4
7,2_9,559.4
8,1_9,553.8
1,2_3,608.8
2,3_5,611.6
3,2_5,580.2
4,1_5,588
5,4_9,720.2
6,2_8,618.6
7,2_9,559.4
8,1_9,553.8
1,8_9,820.4
2,6_8,772.6
3,2_5,580.2
4,1_5,588
5,3_8,748
6,3_9,613.4
7,1_8,631.4
8,1_9,553.8
1,4_5,596.8
2,1_3,548.2
3,2_5,580.2
4,1_5,588
5,1_6,623.8
6,1_7,547.8
7,1_8,631.4
8,1_9,553.8
1,2_3,608.8
2,7_9,755.25
3,2_5,580.2
4,1_5,588
5,1_6,623.8
6,2_8,618.6
7,1_8,631.4
8,1_9,553.8
1,3_4,597.25
2,1_3,548.2
3,1_4,589.4
4,1_5,588
5,2_7,605.2
