distance,pair,value
1,3_4,611.2
2,4_6,473.6
3,1_4,458.6
4,1_5,418.4
5,2_7,457
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,8_9,621.8
2,5_7,558.6
3,2_5,553.6
4,2_6,487.6
5,3_8,469.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,7_9,404.75
3,6_9,545.2
4,3_7,570
5,4_9,574.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,4_5,496.8
2,7_9,404.75
3,4_7,558.6
4,3_7,570
5,3_8,469.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,8_9,621.8
2,5_7,558.6
3,2_5,553.6
4,4_8,464.6
5,2_7,457
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,6_7,690.75
2,6_8,660.8
3,1_4,458.6
4,4_8,464.6
5,4_9,574.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,5_6,631.4
2,7_9,404.75
3,4_7,558.6
4,3_7,570
5,2_7,457
6,2_8,452.6
7,2_9,474.6
8,1_9,441.4
1,3_4,611.2
2,1_3,453.6
3,1_4,458.6
4,5_9,462.8
5,2_7,457
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,1_2,450.4
2,4_6,473.6
3,4_7,558.6
4,2_6,487.6
5,4_9,574.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,5_6,631.4
2,6_8,660.8
3,3_6,541.6
4,3_7,570
5,4_9,574.4
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,7_8,688.4
2,4_6,473.6
3,1_4,458.6
4,5_9,462.8
5,2_7,457
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,1_2,450.4
2,1_3,453.6
3,6_9,545.2
4,3_7,570
5,4_9,574.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,5_6,631.4
2,7_9,404.75
3,4_7,558.6
4,4_8,464.6
5,2_7,457
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,3_4,611.2
2,4_6,473.6
3,4_7,558.6
4,1_5,418.4
5,1_6,428.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,7_8,688.4
2,2_4,535.6
3,1_4,458.6
4,1_5,418.4
5,3_8,469.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,2_3,603.2
2,3_5,480.2
3,1_4,458.6
4,5_9,462.8
5,1_6,428.4
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,3_4,611.2
2,6_8,660.8
3,6_9,545.2
4,3_7,570
5,3_8,469.4
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,6_7,690.75
2,1_3,453.6
3,5_8,551.2
4,2_6,487.6
5,4_9,574.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,3_4,611.2
2,7_9,404.75
3,6_9,545.2
4,2_6,487.6
5,1_6,428.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,7_8,688.4
2,6_8,660.8
3,5_8,551.2
4,3_7,570
5,3_8,469.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,7_8,688.4
2,3_5,480.2
3,5_8,551.2
4,2_6,487.6
5,2_7,457
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,4_5,496.8
2,3_5,480.2
3,6_9,545.2
4,3_7,570
5,4_9,574.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,8_9,621.8
2,5_7,558.6
3,2_5,553.6
4,1_5,418.4
5,2_7,457
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,1_2,450.4
2,2_4,535.6
3,4_7,558.6
4,2_6,487.6
5,4_9,574.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,7_8,688.4
2,4_6,473.6
3,3_6,541.6
4,1_5,418.4
5,1_6,428.4
6,2_8,452.6
7,2_9,474.6
8,1_9,441.4
1,5_6,631.4
2,6_8,660.8
3,2_5,553.6
4,4_8,464.6
5,2_7,457
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,2_3,603.2
2,7_9,404.75
3,5_8,551.2
4,5_9,462.8
5,1_6,428.4
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,7_8,688.4
2,7_9,404.75
3,5_8,551.2
4,4_8,464.6
5,4_9,574.4
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,2_4,535.6
3,3_6,541.6
4,5_9,462.8
5,2_7,457
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,8_9,621.8
2,4_6,473.6
3,6_9,545.2
4,3_7,570
5,1_6,428.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,5_6,631.4
2,6_8,660.8
3,3_6,541.6
4,5_9,462.8
5,4_9,574.4
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,5_6,631.4
2,5_7,558.6
3,1_4,458.6
4,2_6,487.6
5,3_8,469.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,3_4,611.2
2,7_9,404.75
3,6_9,545.2
4,4_8,464.6
5,1_6,428.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,4_6,473.6
3,5_8,551.2
4,3_7,570
5,4_9,574.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,6_7,690.75
2,6_8,660.8
3,5_8,551.2
4,5_9,462.8
5,4_9,574.4
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,7_9,404.75
3,2_5,553.6
4,1_5,418.4
5,4_9,574.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,6_7,690.75
2,7_9,404.75
3,5_8,551.2
4,5_9,462.8
5,2_7,457
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,8_9,621.8
2,2_4,535.6
3,5_8,551.2
4,3_7,570
5,1_6,428.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,4_5,496.8
2,1_3,453.6
3,4_7,558.6
4,1_5,418.4
5,3_8,469.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,7_8,688.4
2,1_3,453.6
3,3_6,541.6
4,3_7,570
5,3_8,469.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,4_5,496.8
2,5_7,558.6
3,2_5,553.6
4,5_9,462.8
5,3_8,469.4
6,3_9,450.2
7,2_9,474.6
8,1_9,441.4
1,7_8,688.4
2,4_6,473.6
3,6_9,545.2
4,1_5,418.4
5,2_7,457
6,2_8,452.6
7,2_9,474.6
8,1_9,441.4
1,1_2,450.4
2,5_7,558.6
3,3_6,541.6
4,1_5,418.4
5,3_8,469.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,3_4,611.2
2,5_7,558.6
3,2_5,553.6
4,5_9,462.8
5,4_9,574.4
6,1_7,502.2
7,2_9,474.6
8,1_9,441.4
1,7_8,688.4
2,6_8,660.8
3,6_9,545.2
4,5_9,462.8
5,2_7,457
6,3_9,450.2
7,1_8,419
8,1_9,441.4
1,8_9,621.8
2,4_6,473.6
3,5_8,551.2
4,1_5,418.4
5,4_9,574.4
6,1_7,502.2
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,1_3,453.6
3,6_9,545.2
4,5_9,462.8
5,2_7,457
6,2_8,452.6
7,1_8,419
8,1_9,441.4
1,2_3,603.2
2,7_9,404.75
3,4_7,558.6
4,5_9,462.8
5,1_6,428.4
6,3_9,450.2
7,1_8,419
8,1_9,441.4
