distance,pair,value
1,4_5,588.8
2,7_9,593
3,1_4,450.6
4,4_8,529.2
5,3_8,484.8
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,3_5,463
3,3_6,488.2
4,2_6,449.2
5,4_9,503
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,4_5,588.8
2,4_6,566.2
3,2_5,475
4,5_9,511.75
5,4_9,503
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,5_6,539
2,6_8,675.4
3,3_6,488.2
4,3_7,506.25
5,3_8,484.8
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,7_9,593
3,5_8,614.4
4,3_7,506.25
5,1_6,449.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,5_6,539
2,1_3,418.6
3,4_7,555.8
4,4_8,529.2
5,2_7,516.4
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,5_6,539
2,2_4,527.8
3,6_9,501.333
4,2_6,449.2
5,1_6,449.4
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,5_7,579
3,3_6,488.2
4,2_6,449.2
5,3_8,484.8
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,2_3,523
2,3_5,463
3,4_7,555.8
4,3_7,506.25
5,4_9,503
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,2_3,523
2,4_6,566.2
3,5_8,614.4
4,4_8,529.2
5,1_6,449.4
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,7_8,834
2,2_4,527.8
3,2_5,475
4,3_7,506.25
5,1_6,449.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,2_3,523
2,3_5,463
3,3_6,488.2
4,3_7,506.25
5,4_9,503
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,4_6,566.2
3,5_8,614.4
4,1_5,423.4
5,1_6,449.4
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,7_8,834
2,2_4,527.8
3,3_6,488.2
4,4_8,529.2
5,2_7,516.4
6,1_7,440.4
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,2_4,527.8
3,1_4,450.6
4,4_8,529.2
5,3_8,484.8
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,6_7,520.6
2,2_4,527.8
3,6_9,501.333
4,3_7,506.25
5,1_6,449.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,1_3,418.6
3,1_4,450.6
4,5_9,511.75
5,3_8,484.8
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,2_3,523
2,4_6,566.2
3,2_5,475
4,4_8,529.2
5,1_6,449.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,4_5,588.8
2,4_6,566.2
3,6_9,501.333
4,5_9,511.75
5,4_9,503
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,7_8,834
2,4_6,566.2
3,2_5,475
4,2_6,449.2
5,3_8,484.8
6,2_8,438
7,2_9,405
8,1_9,472.6
1,4_5,588.8
2,6_8,675.4
3,1_4,450.6
4,5_9,511.75
5,2_7,516.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,3_5,463
3,6_9,501.333
4,2_6,449.2
5,4_9,503
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,8_9,687.6
2,1_3,418.6
3,1_4,450.6
4,2_6,449.2
5,1_6,449.4
6,1_7,440.4
7,1_8,403.6
8,1_9,472.6
1,6_7,520.6
2,4_6,566.2
3,4_7,555.8
4,4_8,529.2
5,1_6,449.4
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,1_2,454
2,7_9,593
3,5_8,614.4
4,2_6,449.2
5,4_9,503
6,2_8,438
7,2_9,405
8,1_9,472.6
1,4_5,588.8
2,7_9,593
3,6_9,501.333
4,2_6,449.2
5,4_9,503
6,2_8,438
7,2_9,405
8,1_9,472.6
1,7_8,834
2,2_4,527.8
3,4_7,555.8
4,1_5,423.4
5,3_8,484.8
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,2_3,523
2,7_9,593
3,3_6,488.2
4,5_9,511.75
5,2_7,516.4
6,1_7,440.4
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,7_9,593
3,6_9,501.333
4,2_6,449.2
5,2_7,516.4
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,8_9,687.6
2,5_7,579
3,5_8,614.4
4,5_9,511.75
5,4_9,503
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,7_8,834
2,4_6,566.2
3,1_4,450.6
4,4_8,529.2
5,2_7,516.4
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,1_2,454
2,3_5,463
3,4_7,555.8
4,4_8,529.2
5,4_9,503
6,2_8,438
7,2_9,405
8,1_9,472.6
1,5_6,539
2,6_8,675.4
3,5_8,614.4
4,4_8,529.2
5,4_9,503
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,7_9,593
3,3_6,488.2
4,2_6,449.2
5,2_7,516.4
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,1_2,454
2,4_6,566.2
3,6_9,501.333
4,4_8,529.2
5,1_6,449.4
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,2_3,523
2,6_8,675.4
3,4_7,555.8
4,5_9,511.75
5,4_9,503
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,7_8,834
2,7_9,593
3,5_8,614.4
4,4_8,529.2
5,3_8,484.8
6,2_8,438
7,2_9,405
8,1_9,472.6
1,2_3,523
2,1_3,418.6
3,1_4,450.6
4,4_8,529.2
5,3_8,484.8
6,2_8,438
7,1_8,403.6
8,1_9,472.6
1,4_5,588.8
2,3_5,463
3,2_5,475
4,2_6,449.2
5,4_9,503
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,6_8,675.4
3,6_9,501.333
4,1_5,423.4
5,2_7,516.4
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,3_4,544.6
2,1_3,418.6
3,1_4,450.6
4,2_6,449.2
5,2_7,516.4
6,2_8,438
7,2_9,405
8,1_9,472.6
1,1_2,454
2,6_8,675.4
3,1_4,450.6
4,5_9,511.75
5,4_9,503
6,1_7,440.4
7,1_8,403.6
8,1_9,472.6
1,4_5,588.8
2,1_3,418.6
3,6_9,501.333
4,1_5,423.4
5,4_9,503
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,5_6,539
2,5_7,579
3,2_5,475
4,4_8,529.2
5,4_9,503
6,1_7,440.4
7,1_8,403.6
8,1_9,472.6
1,4_5,588.8
2,7_9,593
3,5_8,614.4
4,3_7,506.25
5,4_9,503
6,3_9,461.8
7,2_9,405
8,1_9,472.6
1,6_7,520.6
2,1_3,418.6
3,5_8,614.4
4,5_9,511.75
5,3_8,484.8
6,2_8,438
7,2_9,405
8,1_9,472.6
1,7_8,834
2,4_6,566.2
3,6_9,501.333
4,4_8,529.2
5,3_8,484.8
6,3_9,461.8
7,1_8,403.6
8,1_9,472.6
1,2_3,523
2,1_3,418.6
3,2_5,475
4,1_5,423.4
5,3_8,484.8
6,1_7,440.4
7,2_9,405
8,1_9,472.6
1,3_4,544.6
