distance,pair,value
1,3_4,419
2,4_6,503.8
3,1_4,407
4,3_7,481.6
5,1_6,427.8
6,1_7,454.8
7,1_8,389.4
8,1_9,413
1,8_9,484
2,7_9,467
3,5_8,516
4,1_5,390.8
5,4_9,461.2
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,4_5,435.4
2,3_5,478.2
3,4_7,499
4,2_6,430.8
5,3_8,465.8
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,4_5,435.4
2,4_6,503.8
3,5_8,516
4,1_5,390.8
5,1_6,427.8
6,3_9,477
7,2_9,418.4
8,1_9,413
1,3_4,419
2,5_7,513.2
3,2_5,494
4,3_7,481.6
5,2_7,458.333
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,6_7,571
2,6_8,514.8
3,4_7,499
4,5_9,528
5,3_8,465.8
6,3_9,477
7,1_8,389.4
8,1_9,413
1,4_5,435.4
2,1_3,499.5
3,2_5,494
4,2_6,430.8
5,3_8,465.8
6,1_7,454.8
7,1_8,389.4
8,1_9,413
1,7_8,510
2,1_3,499.5
3,5_8,516
4,3_7,481.6
5,4_9,461.2
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,1_2,396.4
2,1_3,499.5
3,4_7,499
4,5_9,528
5,4_9,461.2
6,3_9,477
7,2_9,418.4
8,1_9,413
1,6_7,571
2,6_8,514.8
3,6_9,493.5
4,3_7,481.6
5,1_6,427.8
6,3_9,477
7,2_9,418.4
8,1_9,413
1,6_7,571
2,3_5,478.2
3,5_8,516
4,5_9,528
5,4_9,461.2
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,2_3,426
2,7_9,467
3,5_8,516
4,2_6,430.8
5,1_6,427.8
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,1_2,396.4
2,3_5,478.2
3,2_5,494
4,4_8,451
5,3_8,465.8
6,3_9,477
7,2_9,418.4
8,1_9,413
1,3_4,419
2,5_7,513.2
3,5_8,516
4,2_6,430.8
5,4_9,461.2
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,5_6,518.5
2,3_5,478.2
3,1_4,407
4,1_5,390.8
5,2_7,458.333
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,1_2,396.4
2,7_9,467
3,4_7,499
4,4_8,451
5,1_6,427.8
6,3_9,477
7,2_9,418.4
8,1_9,413
1,1_2,396.4
2,2_4,475.8
3,2_5,494
4,2_6,430.8
5,3_8,465.8
6,2_8,441.6
7,1_8,389.4
8,1_9,413
1,3_4,419
2,6_8,514.8
3,1_4,407
4,2_6,430.8
5,4_9,461.2
6,1_7,454.8
7,1_8,389.4
8,1_9,413
1,8_9,484
2,3_5,478.2
3,2_5,494
4,4_8,451
5,2_7,458.333
6,1_7,454.8
7,1_8,389.4
8,1_9,413
1,3_4,419
2,1_3,499.5
3,4_7,499
4,3_7,481.6
5,2_7,458.333
6,1_7,454.8
7,2_9,418.4
8,1_9,413
1,4_5,435.4
2,2_4,475.8
3,3_6,496.2
4,1_5,390.8
5,3_8,465.8
6,1_7,454.8
7,1_8,389.4
8,1_9,413
1,8_9,484
2,2_4,475.8
3,1_4,407
4,5_9,528
5,1_6,427.8
6,3_9,477
7,1_8,389.4
8,1_9,413
1,1_2,396.4
2,4_6,503.8
3,6_9,493.5
4,5_9,528
5,1_6,427.8
6,2_8,441.6
7,1_8,389.4
8,1_9,413
1,5_6,518.5
2,3_5,478.2
3,3_6,496.2
4,4_8,451
5,3_8,465.8
6,3_9,477
7,1_8,389.4
8,1_9,413
1,7_8,510
2,7_9,467
3,3_6,496.2
4,1_5,390.8
5,3_8,465.8
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,6_7,571
2,4_6,503.8
3,3_6,496.2
4,2_6,430.8
5,3_8,465.8
6,3_9,477
7,1_8,389.4
8,1_9,413
1,7_8,510
2,2_4,475.8
3,3_6,496.2
4,2_6,430.8
5,2_7,458.333
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,4_5,435.4
2,3_5,478.2
3,3_6,496.2
4,2_6,430.8
5,4_9,461.2
6,2_8,441.6
7,2_9,418.4
8,1_9,413
1,3_4,419
2,4_6,503.8
3,3_6,496.2
4,4_8,451
5,4_9,461.2
6,3_9,477
7,2_9,418.4
