distance,pair,value
1,6_7,693.75
2,6_8,679.8
3,3_6,542.4
4,5_9,636.8
5,2_7,612.8
6,2_8,590.4
7,1_8,678.4
8,1_9,578.2
1,8_9,708.4
2,7_9,697.2
3,4_7,609.8
4,1_5,608.4
5,3_8,512.4
6,3_9,605.4
7,1_8,678.4
8,1_9,578.2
1,1_2,638.4
2,2_4,647.8
3,4_7,609.8
4,4_8,607.8
5,2_7,612.8
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,4_5,692.2
2,1_3,590.5
3,4_7,609.8
4,3_7,515.4
5,1_6,553.2
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,4_5,692.2
2,2_4,647.8
3,6_9,701
4,4_8,607.8
5,2_7,612.8
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,1_2,638.4
2,5_7,596
3,2_5,602.4
4,3_7,515.4
5,2_7,612.8
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,4_5,692.2
2,1_3,590.5
3,6_9,701
4,1_5,608.4
5,2_7,612.8
6,2_8,590.4
7,1_8,678.4
8,1_9,578.2
1,2_3,655.4
2,2_4,647.8
3,2_5,602.4
4,3_7,515.4
5,2_7,612.8
6,2_8,590.4
7,1_8,678.4
8,1_9,578.2
1,6_7,693.75
2,2_4,647.8
3,3_6,542.4
4,4_8,607.8
5,4_9,636.6
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,8_9,708.4
2,5_7,596
3,5_8,576.8
4,4_8,607.8
5,3_8,512.4
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,2_3,655.4
2,1_3,590.5
3,5_8,576.8
4,3_7,515.4
5,2_7,612.8
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,2_3,655.4
2,6_8,679.8
3,1_4,618.8
4,5_9,636.8
5,4_9,636.6
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,8_9,708.4
2,7_9,697.2
3,6_9,701
4,3_7,515.4
5,3_8,512.4
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,5_6,641.5
2,7_9,697.2
3,3_6,542.4
4,3_7,515.4
5,1_6,553.2
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,6_7,693.75
2,5_7,596
3,4_7,609.8
4,5_9,636.8
5,4_9,636.6
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,3_4,601.4
2,1_3,590.5
3,3_6,542.4
4,5_9,636.8
5,2_7,612.8
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,1_2,638.4
2,4_6,685.8
3,4_7,609.8
4,1_5,608.4
5,4_9,636.6
6,3_9,605.4
7,1_8,678.4
8,1_9,578.2
1,3_4,601.4
2,1_3,590.5
3,3_6,542.4
4,4_8,607.8
5,3_8,512.4
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,1_2,638.4
2,3_5,644.2
3,4_7,609.8
4,3_7,515.4
5,3_8,512.4
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,8_9,708.4
2,5_7,596
3,1_4,618.8
4,5_9,636.8
5,1_6,553.2
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,3_4,601.4
2,4_6,685.8
3,1_4,618.8
4,2_6,546.4
5,3_8,512.4
6,3_9,605.4
7,1_8,678.4
8,1_9,578.2
1,7_8,628
2,7_9,697.2
3,5_8,576.8
4,4_8,607.8
5,2_7,612.8
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,3_4,601.4
2,4_6,685.8
3,6_9,701
4,3_7,515.4
5,4_9,636.6
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,3_4,601.4
2,7_9,697.2
3,4_7,609.8
4,4_8,607.8
5,4_9,636.6
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,2_3,655.4
2,5_7,596
3,1_4,618.8
4,5_9,636.8
5,4_9,636.6
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,3_4,601.4
2,2_4,647.8
3,1_4,618.8
4,3_7,515.4
5,3_8,512.4
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,5_6,641.5
2,4_6,685.8
3,3_6,542.4
4,1_5,608.4
5,3_8,512.4
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,1_2,638.4
2,7_9,697.2
3,5_8,576.8
4,2_6,546.4
5,3_8,512.4
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,1_2,638.4
2,5_7,596
3,4_7,609.8
4,1_5,608.4
5,3_8,512.4
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,5_6,641.5
2,3_5,644.2
3,4_7,609.8
4,4_8,607.8
5,1_6,553.2
6,1_7,638.5
7,1_8,678.4
8,1_9,578.2
1,3_4,601.4
2,2_4,647.8
3,5_8,576.8
4,2_6,546.4
5,4_9,636.6
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,7_8,628
2,7_9,697.2
3,1_4,618.8
4,3_7,515.4
5,1_6,553.2
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,2_3,655.4
2,4_6,685.8
3,2_5,602.4
4,1_5,608.4
5,3_8,512.4
6,3_9,605.4
7,2_9,656.2
8,1_9,578.2
1,6_7,693.75
2,6_8,679.8
3,2_5,602.4
4,3_7,515.4
5,3_8,512.4
6,1_7,638.5
7,2_9,656.2
8,1_9,578.2
1,8_9,708.4
2,7_9,697.2
3,3_6,542.4
4,3_7,515.4
5,2_7,612.8
6,2_8,590.4
7,2_9,656.2
8,1_9,578.2
1,6_7,693.75
2,2_4,647.8
3,2_5,602.4
4,2_6,546.4
5,3_8,512.4
