distance,pair,value
1,4_5,632.6
2,2_4,557.2
3,1_4,547.4
4,4_8,500.6
5,4_9,556.2
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,6_8,599
3,5_8,581.2
4,2_6,524.8
5,3_8,531.4
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,8_9,590.4
2,4_6,502
3,4_7,559.4
4,5_9,543.2
5,2_7,527.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,7_9,534
3,2_5,553.5
4,3_7,527.6
5,3_8,531.4
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,5_6,522.6
2,3_5,543.8
3,5_8,581.2
4,3_7,527.6
5,4_9,556.2
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,8_9,590.4
2,1_3,541.8
3,1_4,547.4
4,3_7,527.6
5,3_8,531.4
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,7_9,534
3,1_4,547.4
4,3_7,527.6
5,3_8,531.4
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,3_5,543.8
3,5_8,581.2
4,3_7,527.6
5,1_6,504.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,7_9,534
3,3_6,539.2
4,1_5,489.2
5,4_9,556.2
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,2_3,539.6
2,5_7,553.6
3,1_4,547.4
4,2_6,524.8
5,4_9,556.2
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,6_8,599
3,6_9,555.2
4,3_7,527.6
5,3_8,531.4
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,3_5,543.8
3,1_4,547.4
4,3_7,527.6
5,3_8,531.4
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,8_9,590.4
2,2_4,557.2
3,6_9,555.2
4,4_8,500.6
5,2_7,527.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,7_9,534
3,5_8,581.2
4,5_9,543.2
5,4_9,556.2
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,3_5,543.8
3,3_6,539.2
4,5_9,543.2
5,4_9,556.2
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,2_3,539.6
2,2_4,557.2
3,5_8,581.2
4,2_6,524.8
5,4_9,556.2
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,2_3,539.6
2,3_5,543.8
3,2_5,553.5
4,5_9,543.2
5,2_7,527.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,7_8,531.8
2,4_6,502
3,4_7,559.4
4,2_6,524.8
5,2_7,527.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,4_5,632.6
2,1_3,541.8
3,4_7,559.4
4,1_5,489.2
5,4_9,556.2
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,8_9,590.4
2,1_3,541.8
3,1_4,547.4
4,2_6,524.8
5,2_7,527.8
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,2_3,539.6
2,5_7,553.6
3,1_4,547.4
4,4_8,500.6
5,1_6,504.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,1_2,531
2,3_5,543.8
3,1_4,547.4
4,2_6,524.8
5,3_8,531.4
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,4_5,632.6
2,7_9,534
3,5_8,581.2
4,1_5,489.2
5,3_8,531.4
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,6_8,599
3,6_9,555.2
4,5_9,543.2
5,3_8,531.4
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,5_6,522.6
2,6_8,599
3,1_4,547.4
4,1_5,489.2
5,1_6,504.8
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,1_2,531
2,1_3,541.8
3,2_5,553.5
4,4_8,500.6
5,4_9,556.2
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,2_4,557.2
3,2_5,553.5
4,2_6,524.8
5,3_8,531.4
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,2_4,557.2
3,3_6,539.2
4,4_8,500.6
5,2_7,527.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,3_5,543.8
3,5_8,581.2
4,5_9,543.2
5,2_7,527.8
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,5_7,553.6
3,2_5,553.5
4,4_8,500.6
5,3_8,531.4
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,3_5,543.8
3,1_4,547.4
4,1_5,489.2
5,4_9,556.2
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,7_8,531.8
2,5_7,553.6
3,3_6,539.2
4,3_7,527.6
5,4_9,556.2
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,4_6,502
3,4_7,559.4
4,1_5,489.2
5,3_8,531.4
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,3_5,543.8
3,4_7,559.4
4,3_7,527.6
5,4_9,556.2
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,5_6,522.6
2,7_9,534
3,1_4,547.4
4,4_8,500.6
5,4_9,556.2
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,7_8,531.8
2,7_9,534
3,1_4,547.4
4,1_5,489.2
5,2_7,527.8
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,4_5,632.6
2,4_6,502
3,2_5,553.5
4,2_6,524.8
5,4_9,556.2
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,3_5,543.8
3,5_8,581.2
4,2_6,524.8
5,1_6,504.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,7_9,534
3,4_7,559.4
4,4_8,500.6
5,2_7,527.8
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,1_2,531
2,1_3,541.8
3,1_4,547.4
4,4_8,500.6
5,2_7,527.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,6_8,599
3,4_7,559.4
4,3_7,527.6
5,1_6,504.8
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,6_7,599.75
2,1_3,541.8
3,4_7,559.4
4,3_7,527.6
5,2_7,527.8
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,6_8,599
3,2_5,553.5
4,5_9,543.2
5,3_8,531.4
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,4_6,502
3,2_5,553.5
4,5_9,543.2
5,3_8,531.4
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,2_3,539.6
2,3_5,543.8
3,1_4,547.4
4,1_5,489.2
5,1_6,504.8
6,3_9,493.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,4_6,502
3,4_7,559.4
4,2_6,524.8
5,2_7,527.8
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,7_8,531.8
2,2_4,557.2
3,3_6,539.2
4,5_9,543.2
5,2_7,527.8
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,1_2,531
2,4_6,502
3,5_8,581.2
4,3_7,527.6
5,1_6,504.8
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,2_3,539.6
2,2_4,557.2
3,5_8,581.2
4,5_9,543.2
5,4_9,556.2
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,6_7,599.75
2,1_3,541.8
3,1_4,547.4
4,5_9,543.2
5,1_6,504.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,8_9,590.4
2,3_5,543.8
3,3_6,539.2
4,1_5,489.2
5,3_8,531.4
6,3_9,493.6
7,2_9,476.8
8,1_9,463.2
1,5_6,522.6
2,4_6,502
3,4_7,559.4
4,1_5,489.2
5,4_9,556.2
6,2_8,493.4
7,1_8,483.6
8,1_9,463.2
1,3_4,570.2
2,3_5,543.8
3,5_8,581.2
4,2_6,524.8
5,3_8,531.4
6,1_7,521.6
7,2_9,476.8
8,1_9,463.2
1,1_2,531
2,6_8,599
3,2_5,553.5
4,5_9,543.2
5,1_6,504.8
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,5_6,522.6
2,1_3,541.8
3,5_8,581.2
4,2_6,524.8
5,4_9,556.2
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,2_4,557.2
3,4_7,559.4
4,3_7,527.6
5,3_8,531.4
6,1_7,521.6
7,1_8,483.6
8,1_9,463.2
1,8_9,590.4
2,1_3,541.8
3,4_7,559.4
4,2_6,524.8
5,3_8,531.4
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,6_7,599.75
2,4_6,502
3,4_7,559.4
4,2_6,524.8
5,2_7,527.8
6,2_8,493.4
7,2_9,476.8
8,1_9,463.2
1,3_4,570.2
2,4_6,502
3,2_5,553.5
