distance,pair,value
1,1_2,508
2,2_4,476.6
3,6_9,549.4
4,4_8,485.4
5,3_8,480.8
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,1_2,508
2,6_8,562.2
3,2_5,516
4,1_5,476.4
5,1_6,487.4
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,2_4,476.6
3,3_6,507.6
4,2_6,483.6
5,2_7,478.6
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,5_6,530
2,5_7,528
3,5_8,546.6
4,2_6,483.6
5,3_8,480.8
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,1_2,508
2,2_4,476.6
3,1_4,485.8
4,2_6,483.6
5,2_7,478.6
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,8_9,605.25
2,6_8,562.2
3,5_8,546.6
4,1_5,476.4
5,2_7,478.6
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,4_6,489.6
3,2_5,516
4,4_8,485.4
5,2_7,478.6
6,1_7,466.4
7,2_9,496.2
8,1_9,483
1,2_3,568.6
2,5_7,528
3,4_7,553.6
4,2_6,483.6
5,3_8,480.8
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,1_2,508
2,4_6,489.6
3,3_6,507.6
4,2_6,483.6
5,1_6,487.4
6,3_9,506.4
7,2_9,496.2
8,1_9,483
1,4_5,513.4
2,5_7,528
3,3_6,507.6
4,4_8,485.4
5,3_8,480.8
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,1_2,508
2,6_8,562.2
3,6_9,549.4
4,3_7,488.2
5,1_6,487.4
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,4_5,513.4
2,7_9,557.8
3,5_8,546.6
4,3_7,488.2
5,4_9,554.2
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,4_5,513.4
2,3_5,479.8
3,5_8,546.6
4,5_9,474.4
5,4_9,554.2
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,2_3,568.6
2,1_3,469.5
3,5_8,546.6
4,5_9,474.4
5,4_9,554.2
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,1_3,469.5
3,5_8,546.6
4,1_5,476.4
5,4_9,554.2
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,6_7,544.2
2,6_8,562.2
3,1_4,485.8
4,3_7,488.2
5,3_8,480.8
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,8_9,605.25
2,2_4,476.6
3,2_5,516
4,4_8,485.4
5,4_9,554.2
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,4_6,489.6
3,1_4,485.8
4,5_9,474.4
5,4_9,554.2
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,5_6,530
2,4_6,489.6
3,6_9,549.4
4,4_8,485.4
5,3_8,480.8
6,3_9,506.4
7,2_9,496.2
8,1_9,483
1,1_2,508
2,7_9,557.8
3,5_8,546.6
4,4_8,485.4
5,4_9,554.2
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,7_9,557.8
3,5_8,546.6
4,1_5,476.4
5,3_8,480.8
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,5_6,530
2,4_6,489.6
3,4_7,553.6
4,2_6,483.6
5,3_8,480.8
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,8_9,605.25
2,2_4,476.6
3,4_7,553.6
4,2_6,483.6
5,3_8,480.8
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,7_8,564.75
2,7_9,557.8
3,1_4,485.8
4,1_5,476.4
5,1_6,487.4
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,5_6,530
2,2_4,476.6
3,2_5,516
4,3_7,488.2
5,3_8,480.8
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,4_5,513.4
2,3_5,479.8
3,2_5,516
4,3_7,488.2
5,3_8,480.8
6,3_9,506.4
7,2_9,496.2
8,1_9,483
1,2_3,568.6
2,5_7,528
3,4_7,553.6
4,5_9,474.4
5,2_7,478.6
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,7_8,564.75
2,3_5,479.8
3,2_5,516
4,2_6,483.6
5,1_6,487.4
6,3_9,506.4
7,2_9,496.2
8,1_9,483
1,5_6,530
2,1_3,469.5
3,6_9,549.4
4,5_9,474.4
5,4_9,554.2
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,1_2,508
2,4_6,489.6
3,2_5,516
4,3_7,488.2
5,4_9,554.2
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,4_5,513.4
2,1_3,469.5
3,4_7,553.6
4,5_9,474.4
5,3_8,480.8
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,6_7,544.2
2,3_5,479.8
3,6_9,549.4
4,3_7,488.2
5,2_7,478.6
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,6_7,544.2
2,7_9,557.8
3,6_9,549.4
4,1_5,476.4
5,1_6,487.4
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,7_8,564.75
2,7_9,557.8
3,5_8,546.6
4,2_6,483.6
5,3_8,480.8
6,1_7,466.4
7,2_9,496.2
8,1_9,483
1,6_7,544.2
2,1_3,469.5
3,5_8,546.6
4,4_8,485.4
5,1_6,487.4
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,1_2,508
2,5_7,528
3,5_8,546.6
4,3_7,488.2
5,3_8,480.8
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,2_3,568.6
2,5_7,528
3,2_5,516
4,5_9,474.4
5,1_6,487.4
6,2_8,450.25
7,1_8,498.2
8,1_9,483
1,6_7,544.2
2,5_7,528
3,6_9,549.4
4,2_6,483.6
5,2_7,478.6
6,3_9,506.4
7,1_8,498.2
8,1_9,483
1,6_7,544.2
2,1_3,469.5
3,3_6,507.6
4,1_5,476.4
5,3_8,480.8
6,1_7,466.4
7,2_9,496.2
8,1_9,483
1,2_3,568.6
2,7_9,557.8
3,1_4,485.8
4,1_5,476.4
5,2_7,478.6
6,3_9,506.4
7,2_9,496.2
8,1_9,483
1,7_8,564.75
2,3_5,479.8
3,2_5,516
4,5_9,474.4
5,2_7,478.6
6,1_7,466.4
7,2_9,496.2
8,1_9,483
1,1_2,508
2,2_4,476.6
3,4_7,553.6
4,5_9,474.4
5,3_8,480.8
6,2_8,450.25
7,2_9,496.2
8,1_9,483
1,6_7,544.2
2,1_3,469.5
3,5_8,546.6
4,5_9,474.4
5,1_6,487.4
6,1_7,466.4
7,2_9,496.2
8,1_9,483
1,5_6,530
2,1_3,469.5
3,1_4,485.8
4,1_5,476.4
5,1_6,487.4
6,1_7,466.4
7,1_8,498.2
8,1_9,483
1,1_2,508
2,3_5,479.8
