partNo,comp_1,incomp_1,comp_2,incomp_2,comp_3,incomp_3,comp_4,incomp_4,comp_5,incomp_5,comp_6,incomp_6,comp_7,incomp_7,comp_8,incomp_8
77_small,662.369,647.753,636.366,607.302,651.082,603.406,616.97,603.752,563.83,584.336,548.08,548.956,621.094,542.992,519.4,595.8
7_small,592.517,588.04,577.072,533.536,543.02,493.29,520.69,511.407,495.998,486.842,495.254,491.494,533.7,466.732,506.2,520.6
80_small,739.916,780.341,642.959,644.276,664.476,649.8,669.384,573.492,618.584,587.432,599.004,577.948,579.02,617.298,627.8,554
82_small,846.12,858.945,742.874,781.427,743.842,701.998,730.892,698.596,638.409,602.202,672.223,683.052,698.168,698.162,647.2,672.75
84_small,679.844,658.841,660.79,593.813,604.426,560.874,600.71,585.118,597.068,503.212,523.224,487.376,485.4,465.744,549.8,559.4
86_small,637.515,626.77,572.554,603.658,586.618,583.731,568.442,581.216,545.896,554.936,527.774,556.715,523.784,525.424,526.2,537
87_small,657.918,636.053,594.587,623.193,571.532,584.834,573.892,605.568,558.41,587.982,571.242,550.726,533.44,510.04,572.6,565.2
88_small,815.595,690.254,706.084,679.8,619.044,639.864,620.984,627.122,589.638,589.466,550.914,542.018,562.036,539.266,513.2,503.4
89_small,904.014,848.214,840.713,882.98,741.145,798.368,767.444,745.342,741.832,659.418,745.923,660.156,677.276,601.264,661.4,641.6
8_small,473.594,547.798,485.424,512.098,470.276,449.077,464.543,448.813,450.69,468.049,436.313,439.337,445.448,440.776,371.8,434
90_small,595.8,478.569,555.72,516.325,509.691,505.288,490.107,475.726,487.874,457.148,447.336,449.468,404.384,402.888,472.6,433.8
91_small,591.594,552.972,589.538,524.466,564.668,535.161,569.614,531.749,527.15,494.036,515.004,537.69,572.512,489.004,463.4,516.2
95_small,717.257,767.485,709.782,747.594,687.638,706.756,670.517,667.658,574.506,603.906,593.4,611.22,536.158,685.524,514.8,680
98_small,537.659,595.018,546.993,508.457,524.815,513.852,502.34,513.554,503.1,467.102,476.284,468.656,460.012,456.66,514.4,455.4
